,SPY,QQQ,IWM,EFA,EEM,TLT,IEF,GLD,VNQ,DBC
2015-03-06,97.6115,103.6715,122.7091,111.7664,114.7832,126.2407,128.9753,141.2663,130.2978,142.1965
2015-03-09,95.6497,101.3142,120.7635,110.8435,113.6415,128.1738,129.5428,141.9789,128.6081,144.6947
2015-03-10,94.9823,99.932,121.3787,110.6637,113.5106,129.2519,129.5474,140.7887,128.0402,142.7015
2015-03-11,95.5623,100.9718,121.583,110.8974,114.3472,130.7743,129.5147,140.4591,128.197,144.0194
2015-03-12,96.2087,100.9918,122.0457,111.3321,113.4861,130.6196,129.6019,140.0848,129.197,144.5597
2015-03-13,93.9864,98.2822,118.5053,108.4411,109.6658,130.2989,130.0908,139.8758,126.3048,143.3108
2015-03-16,92.6241,97.0743,118.4727,107.15,110.0328,130.7101,130.4502,139.5629,125.2582,144.9213
2015-03-17,91.9766,96.888,119.891,107.1983,108.0091,130.5853,130.065,139.5998,124.8396,144.1553
2015-03-18,92.5568,97.7011,120.5674,107.8403,108.7263,131.5126,130.6778,139.3333,126.1049,145.3094
2015-03-19,92.3929,97.7851,121.2524,106.7195,108.3459,130.9901,130.7225,138.8786,124.2476,145.1939
2015-03-20,92.3259,99.2281,122.9634,106.4766,108.9412,131.1619,130.2945,141.5236,126.1277,146.7094
2015-03-23,91.2904,98.6309,121.6146,105.3392,106.9678,131.6034,130.0616,140.4408,126.2252,144.0854
2015-03-24,91.7193,100.0103,122.1338,106.1007,107.4784,131.8696,130.4397,139.6199,125.7821,144.9637
2015-03-25,90.2781,96.7342,119.5777,103.5497,105.2302,132.685,130.8635,138.296,124.2126,144.3035
2015-03-26,89.0929,94.6375,117.5463,102.6676,106.1528,132.1668,130.5424,137.2829,123.1626,142.1939
2015-03-27,91.1921,97.4045,120.69,104.7156,108.4094,131.2696,129.9913,137.4759,126.7862,142.6464
2015-03-30,94.5167,101.8628,126.9072,107.3336,112.6471,130.484,129.4097,138.2788,130.8958,143.6081
2015-03-31,95.9505,104.7752,129.1727,109.1806,113.3906,128.8247,129.1543,138.1999,134.833,143.8114
2015-04-01,96.4213,106.2677,130.6528,108.8314,114.7149,127.6369,128.7723,137.8538,134.0975,144.7261
2015-04-02,96.2086,104.2544,130.802,108.2707,114.685,128.1203,128.8006,138.0012,134.113,144.3078
2015-04-03,96.065,105.7259,131.4061,109.5848,115.4804,127.8699,129.3579,138.3587,133.0467,142.7195
2015-04-06,96.2011,106.0495,131.6697,110.474,115.687,128.4095,129.6385,137.5015,132.5785,142.4074
2015-04-07,96.103,104.7701,133.1984,111.0212,117.22,129.5578,130.5373,139.5588,134.2009,143.6194
2015-04-08,95.7032,104.3515,132.6267,111.1027,116.7556,128.9281,130.3184,140.2037,134.2026,143.8217
2015-04-09,95.7691,105.303,134.2011,110.6541,116.8468,128.5767,129.6656,141.1059,136.1393,144.0485
2015-04-10,94.7182,104.1086,133.9532,109.0666,115.1221,129.1829,129.7739,141.4606,135.4826,142.5405
2015-04-13,95.0822,104.4226,133.2255,108.5986,115.4383,129.4286,129.6296,141.5895,135.5357,141.9453
2015-04-14,97.6668,106.9716,134.7193,111.5369,117.5301,126.4549,128.8928,140.7743,137.3145,141.6663
2015-04-15,98.5649,106.3851,136.7859,111.4848,116.3655,126.7257,128.4495,139.7871,136.8444,141.2429
2015-04-16,99.9261,108.888,139.9403,113.8304,118.9924,124.6801,127.5109,141.8196,138.8883,143.0678
2015-04-17,100.1437,107.7621,140.744,114.0136,117.9928,124.2291,127.3077,142.7743,136.6677,142.4189
2015-04-20,100.5121,108.9813,141.0486,114.9388,119.2356,124.9379,127.8798,143.8217,137.1313,143.9751
2015-04-21,102.5458,112.5455,144.5162,116.8338,120.7848,125.4852,127.8624,144.2282,139.445,145.2077
2015-04-22,102.3299,111.8448,143.6596,116.3044,120.8094,124.7459,127.8922,143.1864,139.3452,145.8343
2015-04-23,102.402,112.5808,145.2108,115.5885,121.4962,123.6754,127.7496,143.719,140.4337,147.0575
2015-04-24,104.1469,114.5861,147.6563,118.1197,124.8214,124.3512,127.5808,142.9145,142.638,148.029
2015-04-27,103.3357,112.6111,144.8561,116.7126,123.9946,124.8007,127.5699,143.5916,142.4464,149.4172
2015-04-28,102.7994,111.9955,143.4002,114.8798,124.2782,124.7394,127.2024,143.2112,140.8176,148.956
2015-04-29,102.3286,110.7292,140.0972,114.608,126.2173,125.8898,127.5535,144.395,139.5026,150.4505
2015-04-30,100.0169,107.9198,135.2035,112.565,123.4373,127.7764,127.7916,143.6827,137.4621,150.3802
2015-05-01,102.0309,111.1785,138.6684,114.6846,126.7355,125.793,126.9222,143.5872,140.2295,150.8468
2015-05-04,100.5803,109.6122,136.3821,113.7852,124.2009,126.4818,128.1171,143.8338,139.3146,150.2005
2015-05-05,99.8729,108.0005,134.5151,112.7679,124.7859,127.5089,128.5021,143.9495,139.8225,150.4987
2015-05-06,100.1468,109.3123,135.3685,112.3945,124.2448,127.5069,128.3215,144.5949,142.0325,148.926
2015-05-07,100.8736,110.1688,134.3827,112.1718,124.2198,127.4729,128.2733,145.6298,141.7191,149.8556
2015-05-08,100.747,111.0148,134.7842,112.4478,124.4241,127.7053,128.1782,144.6556,142.5286,148.6185
2015-05-11,100.9722,111.167,135.0073,111.3855,125.3059,128.5907,128.5157,145.2617,141.7962,148.309
2015-05-12,101.9435,111.8578,136.1441,112.3806,125.3508,129.2455,129.2383,145.0726,144.9102,149.6419
2015-05-13,101.7905,111.0628,135.9228,112.9903,124.6334,127.9522,128.2427,145.4304,145.8632,152.5016
2015-05-14,101.6079,110.3264,138.4123,113.4557,125.0572,127.8892,128.2559,145.3212,145.9132,151.5097
2015-05-15,100.0924,108.141,135.1299,112.3648,122.857,128.675,128.1334,145.7413,145.1487,151.1903
2015-05-18,100.1554,109.2245,135.702,113.0933,121.6543,128.1551,127.9905,144.4681,144.1783,149.4285
2015-05-19,99.6206,109.494,135.7278,111.0515,121.1502,129.1313,128.6431,145.6017,142.7044,150.843
2015-05-20,100.072,110.271,136.1243,112.859,122.0736,127.7697,128.6459,146.361,143.7983,151.9469
2015-05-21,99.9813,110.0209,134.4118,112.9876,122.1587,127.8628,128.3601,146.6637,144.0294,152.7516
2015-05-22,100.8498,110.7527,134.7234,114.3506,123.2638,127.2968,128.2695,147.3789,146.6209,153.1285
2015-05-25,98.698,107.5437,132.1782,111.5204,121.04,127.1158,128.533,144.823,143.381,149.868
2015-05-26,97.0392,107.0763,130.7736,109.7788,119.541,128.3103,128.8446,144.2417,143.7484,149.705
2015-05-27,98.4016,108.8103,132.2744,111.905,120.4927,129.0625,129.2504,144.4829,144.5432,149.2684
2015-05-28,98.5996,109.1257,133.2722,111.4189,121.337,128.4532,128.9548,144.2955,144.5111,149.2095
2015-05-29,97.2862,108.1901,131.2057,110.4725,119.956,128.731,128.7041,144.6984,143.5502,148.9
2015-06-01,96.2199,106.6556,128.899,109.3304,117.8409,128.7512,129.4054,142.8658,141.3728,148.0336
2015-06-02,95.5764,107.0783,127.4884,109.8253,116.6204,127.1761,128.9895,141.9698,142.2556,148.6858
2015-06-03,95.5746,105.8468,126.9642,109.9189,115.9115,127.4817,128.302,141.4967,141.4171,146.9882
2015-06-04,95.3823,106.2201,126.9161,109.9188,116.049,127.6115,128.1998,141.5765,139.9776,146.9602
2015-06-05,94.1276,106.0802,127.2302,109.1347,114.2397,127.4021,127.487,141.4784,139.8888,149.7149
2015-06-08,95.3237,107.3418,127.9381,110.6452,114.6418,127.7406,127.6654,140.8584,141.5263,148.0319
2015-06-09,97.045,110.1756,130.783,113.0059,115.7332,128.7145,127.842,141.3057,142.1879,148.9434
2015-06-10,97.9601,112.1004,131.3963,113.0681,117.7195,128.0463,127.5025,142.4159,144.2841,148.7872
2015-06-11,97.9483,113.4239,131.612,114.123,116.2889,127.1392,127.0661,141.3102,145.6536,148.867
2015-06-12,96.7843,111.0755,131.2109,111.4897,114.9181,127.4686,127.2936,142.1373,145.7099,148.9445
2015-06-15,97.7669,113.7945,132.7581,113.311,116.8701,126.8446,126.9084,142.0955,147.6999,149.8796
2015-06-16,96.6456,113.4225,131.1167,112.725,116.808,125.8551,127.0443,142.7388,145.8027,151.1145
2015-06-17,98.4104,114.7627,132.2468,114.2873,117.7215,125.8728,126.7232,143.9771,148.0037,151.819
2015-06-18,98.4921,114.624,131.1182,114.8271,118.2946,126.392,127.2758,144.1268,148.8898,151.9581
2015-06-19,98.0969,113.8245,129.8326,114.6868,119.0029,126.4061,127.366,143.7281,148.0933,150.7667
2015-06-22,96.7287,111.2973,129.1838,114.2226,118.0877,126.9803,127.6579,144.1807,147.054,151.0041
2015-06-23,96.7949,111.3646,127.4432,113.8557,115.8677,127.4603,127.8377,144.532,147.0095,150.2194
2015-06-24,94.3387,110.1494,124.8315,112.2549,114.4276,127.1906,128.4882,143.6193,146.1161,147.9002
2015-06-25,95.727,110.9144,126.8791,114.8949,116.2279,127.1835,128.3685,143.4304,147.248,146.1727
2015-06-26,92.654,106.1447,122.1593,111.3885,113.1968,128.0606,128.9725,144.5629,145.0355,147.9305
2015-06-29,91.8381,105.8531,121.4412,108.792,110.7889,127.534,129.0942,142.5862,144.2706,148.153
2015-06-30,91.4992,106.0154,120.8739,108.7535,110.7999,126.7665,129.2668,143.0958,144.7684,148.4774
2015-07-01,91.9495,107.6352,122.6676,109.2543,111.008,126.7842,129.4992,143.7274,147.1569,150.567
2015-07-02,91.1229,106.3274,120.7843,108.2771,109.2138,126.8754,129.2307,144.5707,145.693,151.2227
2015-07-03,92.6691,107.9919,122.6492,109.2849,110.8814,126.2358,128.6549,145.6592,148.0456,152.4906
2015-07-06,92.5194,108.111,122.5593,109.9981,110.6988,126.5657,128.9596,146.5471,147.9873,151.9069
2015-07-07,92.0046,105.7884,122.3945,108.592,109.6306,127.559,129.3025,145.2006,145.6802,150.4994
2015-07-08,91.7849,104.1659,121.9023,108.0755,109.2843,127.847,129.8963,142.651,145.4535,147.6545
2015-07-09,89.5198,102.6115,117.35,106.8954,107.7187,127.8597,129.8872,141.8638,144.4142,147.7796
2015-07-10,89.3166,103.116,117.2381,106.8829,107.1199,127.0418,129.6974,141.4457,144.2409,147.4127
2015-07-13,89.5802,105.0293,116.8482,107.8886,107.4704,127.1342,130.3415,142.577,144.8141,147.0528
2015-07-14,89.3453,105.6282,116.9538,108.6923,107.4298,127.5857,130.8936,141.8027,144.7235,147.028
2015-07-15,88.783,103.1404,115.7824,107.9112,106.2961,127.6752,130.5214,140.0961,144.4765,145.1811
2015-07-16,88.4972,102.6289,115.4184,107.6616,106.6854,128.0211,130.8097,140.3509,144.401,144.9177
2015-07-17,88.8061,104.7265,117.0804,108.8021,106.8458,127.7669,131.0916,140.8775,144.7231,145.0775
2015-07-20,89.866,106.5949,118.3785,109.5532,108.3622,128.3852,131.5018,139.0743,144.6371,142.9937
2015-07-21,90.5817,108.0198,118.1765,110.4027,109.153,127.1162,131.5611,137.8623,145.2154,144.5369
2015-07-22,90.9769,109.6981,119.3996,110.666,108.4642,127.4113,131.8917,137.4455,145.6977,145.5202
2015-07-23,88.1378,105.4902,115.9816,108.2236,105.9422,127.1674,131.7825,137.3568,143.3101,143.881
2015-07-24,88.9666,106.3211,115.6391,108.1422,107.3261,128.4134,131.8176,136.8723,142.821,143.1522
2015-07-27,88.9895,106.5523,115.4924,108.5511,107.7083,129.7127,132.1467,135.855,141.6973,142.7802
2015-07-28,91.4215,110.3796,119.1595,110.6884,109.2174,128.9403,131.397,135.595,146.9428,142.6985
2015-07-29,91.1929,109.7701,117.1971,110.0411,108.651,129.3741,131.3047,135.6546,147.9692,144.2895
2015-07-30,91.9078,110.6322,117.7671,110.2891,109.5565,127.1508,130.5326,136.2738,149.157,145.3342
2015-07-31,90.8729,109.7747,116.4407,110.1085,109.582,127.4404,130.8476,135.744,149.2019,146.7377
2015-08-03,89.4637,107.6258,115.6414,108.2866,106.5509,129.2598,131.5812,134.6268,147.7494,144.1065
2015-08-04,87.58,106.0501,113.2102,107.6707,104.5045,129.7337,131.8472,135.2119,145.6983,141.9309
2015-08-05,88.7931,106.5469,113.7903,109.3496,106.4131,128.8593,132.1991,134.8934,146.6898,143.1518
2015-08-06,88.5945,105.2406,112.4163,109.5596,106.0275,129.1761,132.3997,134.37,145.9822,142.846
2015-08-07,88.7149,106.9071,113.0768,110.1509,107.6542,129.2247,132.5899,134.0659,147.7881,141.7423
2015-08-10,88.2584,104.5701,112.0513,110.4669,109.0929,128.0719,132.6928,135.134,148.5693,142.6721
2015-08-11,88.9315,105.2959,110.8729,110.2483,108.2699,127.0253,132.8189,135.3599,149.9401,143.4291
2015-08-12,88.7473,103.8555,111.4647,109.8901,107.2633,126.0778,132.71,136.0842,150.3564,143.217
2015-08-13,87.653,101.4753,109.7993,108.2622,105.7723,127.0913,133.0095,136.8129,150.7682,144.2408
2015-08-14,87.209,101.7229,110.0624,107.6187,106.3474,126.8995,132.8865,137.7857,150.4542,143.0367
2015-08-17,87.4879,102.0382,110.1674,107.9991,107.7435,125.8684,133.0674,139.3868,153.0897,144.1926
2015-08-18,88.4748,103.5264,112.6833,110.0054,111.446,124.7295,132.2069,139.5539,155.2208,146.2136
2015-08-19,87.723,102.6812,111.43,108.4728,110.6482,124.6078,132.7283,140.1205,153.0792,146.1872
2015-08-20,86.196,100.4848,110.258,106.5177,109.0658,125.9514,132.9882,139.8393,152.6954,143.7397
2015-08-21,86.9174,100.3511,110.21,106.4573,108.238,125.7296,132.6248,139.5515,153.3413,141.8454
2015-08-24,85.842,99.4786,109.6529,106.4946,105.931,124.4508,131.6646,138.8786,153.9725,141.8486
2015-08-25,85.1832,98.663,108.4671,105.9429,105.2961,124.015,131.0169,139.3428,153.2225,142.9456
2015-08-26,87.904,101.4222,111.2676,108.4156,107.0203,123.9406,130.6735,139.7563,155.5051,144.4795
2015-08-27,88.5938,104.1694,112.6359,108.6223,108.5794,123.7658,131.0008,140.187,155.9764,146.2882
2015-08-28,88.1833,103.4955,112.7657,107.7878,106.8111,124.1755,130.8344,140.4068,155.8502,146.8178
2015-08-31,87.4579,102.6915,111.6618,107.3774,105.8346,124.813,131.1743,141.2227,155.3038,146.385
2015-09-01,88.0305,103.7894,113.0834,108.5818,106.9739,123.0434,130.13,140.9451,155.0817,145.4987
2015-09-02,85.1945,101.9292,110.093,106.4389,104.7064,124.1857,129.9626,141.558,153.7847,144.3039
2015-09-03,85.9398,102.3579,111.829,106.9315,105.72,124.4745,129.8214,140.651,154.7069,145.296
2015-09-04,86.515,104.1032,111.9134,107.7503,108.1568,123.8976,129.6084,140.3022,157.3738,144.2037
2015-09-07,86.3618,103.6258,110.9049,108.4218,109.1371,124.1885,129.9715,140.6241,156.2608,143.2333
2015-09-08,85.1231,101.3114,108.5033,107.7405,107.4841,124.52,130.1055,140.8977,155.0494,141.7331
2015-09-09,83.5318,98.7033,106.4836,106.1238,106.9991,125.1874,130.9494,141.4207,153.7518,141.5721
2015-09-10,83.1852,98.6944,105.5655,105.2092,107.9284,125.4269,131.351,140.0451,153.7296,139.7091
2015-09-11,82.3404,96.8982,104.0381,103.9619,106.8906,126.8839,131.9212,139.629,152.0241,140.0206
2015-09-14,81.229,95.7311,101.8375,103.0052,105.8077,126.1093,131.4503,139.3048,151.4393,139.576
2015-09-15,81.3184,97.5643,102.2673,103.7187,106.4102,125.6626,131.6467,139.6308,152.913,140.5299
2015-09-16,81.9691,98.6209,102.3449,104.597,106.5373,125.5352,131.5767,139.2885,153.2858,139.3138
2015-09-17,83.2142,98.9154,104.0747,105.6455,107.0582,125.0027,131.624,137.7178,153.0519,137.6021
2015-09-18,83.3895,98.5021,104.6432,105.7131,108.4348,125.7402,132.166,138.1551,152.7476,139.7638
2015-09-21,82.8777,97.9302,104.3256,105.1173,108.3993,125.241,132.4661,138.5588,152.1584,139.6497
2015-09-22,81.9454,96.3428,102.9073,105.4807,107.1351,127.3687,133.4056,138.9687,150.7848,140.3499
2015-09-23,80.3671,95.2664,100.3733,104.3707,105.5603,128.0331,133.8304,138.6716,151.0689,140.7307
2015-09-24,81.393,97.0419,101.6203,104.8919,106.4277,127.7811,133.8633,140.0734,153.5545,140.5535
2015-09-25,81.6179,98.7341,101.5665,104.3588,106.7147,126.1635,133.0636,139.8514,153.6916,141.1779
2015-09-28,80.1738,97.0399,100.2529,103.1334,106.2873,127.5659,133.7895,140.8688,153.769,141.5142
2015-09-29,80.0721,96.5791,100.986,103.8843,105.9191,128.2812,134.1325,141.932,153.7293,141.4596
2015-09-30,79.0113,95.9271,99.9004,102.5748,105.4658,129.1027,134.6006,141.0843,152.911,142.0645
2015-10-01,79.4188,96.7246,100.8343,103.5516,105.8266,129.0903,134.5685,141.4374,152.3581,144.0312
2015-10-02,79.8621,96.9006,100.4675,103.5781,105.9692,130.3248,135.0106,142.5631,151.9235,143.9274
2015-10-05,78.6154,95.4059,98.7285,103.1469,105.5147,130.7706,135.0604,142.0602,151.4457,142.8634
2015-10-06,78.8039,96.4098,99.9766,103.0292,106.4584,130.4339,135.0902,141.5131,150.8526,139.5104
2015-10-07,79.4542,97.5239,101.3528,103.6344,106.6078,130.0421,135.5923,142.0908,152.1517,139.9661
2015-10-08,79.1297,95.2699,100.2141,102.9871,104.9806,130.0483,135.4104,142.1609,151.8772,140.1111
2015-10-09,80.2421,97.2055,103.0856,104.4305,106.1555,129.5406,135.4461,141.6627,152.2926,139.826
2015-10-12,80.0188,97.3762,103.1066,104.029,106.0752,130.0434,135.5603,141.7004,150.15,138.464
2015-10-13,80.4635,98.6745,103.2836,104.3979,107.3136,130.2636,135.8116,141.9209,151.3502,138.5023
2015-10-14,79.9153,97.7082,102.3242,104.3978,106.9889,130.8736,135.9561,142.0945,153.5843,139.6549
2015-10-15,79.9773,97.1502,102.598,103.0292,107.6133,131.2123,136.7563,141.9408,152.8558,137.9627
2015-10-16,78.45,94.9866,100.4824,101.1687,105.1289,132.3682,137.0286,142.2725,151.1254,138.0451
2015-10-19,79.2571,96.7782,102.0864,102.1074,106.1051,130.8057,136.3373,141.9339,152.585,139.4885
2015-10-20,78.2536,95.4679,101.1689,100.7846,104.6116,130.6151,136.4434,141.2017,152.5107,137.7229
2015-10-21,78.4688,95.055,101.4734,100.881,103.9234,131.2544,137.1292,142.056,151.7882,138.379
2015-10-22,79.957,97.6579,104.3469,102.5277,107.0543,130.7258,137.0055,143.7766,155.7375,141.9568
2015-10-23,80.5268,98.3669,105.342,101.873,105.5621,130.3794,136.7955,146.1932,157.0899,143.5681
2015-10-26,79.6687,98.1959,104.7523,101.0662,104.4077,131.3077,137.2577,146.0331,156.4947,142.4828
2015-10-27,80.1647,98.9193,106.3526,101.3544,106.277,131.7854,137.3767,146.9977,158.3597,144.7418
2015-10-28,80.661,99.2106,106.1485,101.7504,106.1467,132.7019,137.9259,144.687,158.89,142.8452
2015-10-29,79.5704,97.7951,106.2767,101.3491,105.9396,132.3018,137.973,144.1092,158.2423,143.6459
2015-10-30,79.2648,96.5029,104.4196,99.4225,106.6862,133.2191,138.4495,142.9258,157.8262,141.4512
2015-11-02,78.944,94.7989,103.9446,98.5414,106.1847,132.9589,138.8794,143.1239,156.4429,141.5857
2015-11-03,79.1837,95.71,103.8056,99.2053,107.5987,132.3821,138.5321,142.2106,156.7934,141.3041
2015-11-04,79.1736,96.0363,103.7396,98.4598,109.4536,131.4478,138.0669,142.1527,158.2848,140.849
2015-11-05,79.1116,96.1713,103.5493,98.967,109.8654,131.9945,138.2445,140.5873,158.3224,140.1388
2015-11-06,78.3837,94.8297,102.3675,98.6951,108.8301,132.7595,138.7874,141.5094,156.7703,141.333
2015-11-09,77.1091,92.1369,99.5722,96.4103,106.7495,132.638,138.3485,140.7638,154.783,139.0835
2015-11-10,76.6545,92.5122,98.4292,95.6497,107.1876,132.5043,138.1469,139.7288,155.0196,140.5718
2015-11-11,76.3712,91.5347,97.6717,93.98,106.5322,132.0575,137.3677,139.566,153.2314,141.6094
2015-11-12,76.7076,91.3235,99.0966,94.7255,106.5794,132.9484,137.6897,139.959,154.4118,141.3504
2015-11-13,76.1621,90.4257,97.4253,95.1771,107.1856,134.7029,138.0254,140.875,153.2264,140.6975
2015-11-16,76.1969,91.7088,96.9357,96.1346,106.9805,134.1772,137.8788,139.7195,154.1403,141.7941
2015-11-17,76.394,91.7682,98.257,96.6375,108.6545,134.8393,137.5483,140.9784,155.2539,142.5123
2015-11-18,77.7178,93.9325,100.1087,97.4478,110.6391,135.7766,137.0701,141.0316,157.7738,143.7266
2015-11-19,77.406,94.337,99.8754,97.6616,111.7728,135.0474,136.5241,140.1474,155.8346,144.7294
2015-11-20,76.887,92.5989,100.354,97.413,110.8956,136.1464,137.3042,139.4304,154.2902,143.2859
2015-11-23,77.0946,92.5886,99.5409,97.4809,109.9943,136.7381,137.2174,139.8899,154.7158,143.15
2015-11-24,78.0528,94.3163,100.5868,98.6744,112.0055,136.8377,137.6255,140.4372,158.4971,143.8691
2015-11-25,77.0787,92.792,98.8268,97.8267,109.9992,137.73,137.9507,140.8189,157.5782,143.5983
2015-11-26,77.7538,92.6411,98.8654,98.6039,110.4049,138.3707,138.4788,141.645,157.0905,142.7191
2015-11-27,77.3459,92.6933,100.1841,99.4889,112.0189,137.847,138.3209,141.5631,157.7948,143.179
2015-11-30,78.2417,93.1879,99.4786,99.4838,110.8427,135.4846,137.1862,140.4801,158.0083,142.6804
2015-12-01,78.3469,93.6789,99.2363,99.3907,111.6188,134.4698,136.5851,139.9977,160.0618,141.7771
2015-12-02,77.9723,92.6768,97.6966,97.6098,112.0371,134.903,137.6062,139.499,158.9294,140.5492
2015-12-03,79.0747,94.4548,100.5619,98.765,113.7093,135.3178,137.6015,140.1506,161.9524,141.4326
2015-12-04,78.7581,95.2591,100.1279,98.1799,112.9218,135.0018,137.0607,140.7696,162.0759,141.7235
2015-12-07,80.0452,95.6837,101.0267,99.2093,113.7348,135.0931,136.8546,141.7333,164.4704,141.5554
2015-12-08,80.9278,94.8478,100.1236,99.1374,113.1804,135.5261,137.6747,140.7418,162.7817,141.6285
2015-12-09,81.7851,97.0236,101.2382,99.8889,114.3054,133.8212,137.1067,139.5837,164.1615,141.164
2015-12-10,82.4029,97.6289,102.4886,100.8205,114.6812,132.4695,136.7084,139.4914,165.8393,143.0956
2015-12-11,82.712,97.8238,103.0645,101.2424,114.4979,132.7372,137.2482,139.4915,165.649,142.6878
2015-12-14,83.205,97.444,102.6897,101.0233,114.6865,132.1159,137.1427,140.1415,165.9464,142.1127
